lon	lat	depth	m_l	err_abs	err_avgrel	area
#						
#	Joint	Pamir-Hindu	Kush	earthquake	catalog	for
#	obtained	from	the	TIPAGE/FERGHANA/TIPTIMON	networks	
#	(Mechie	et	al.,	2012/Feld	et	al.,
#	between	2012-14	&	2008-10.		
#						
#	Pamir	events	are	mainly	relocated	from
#						
#	See	Kufner	et.	al.	2016	for
#	-	absError(km)	--	absolute	location	error
#	-	AveragedRelativeError (km)	--	averaged	relative	location
#	-	the	separation	in	deepPamir	and
#						
#	longitude(deg)	latitude(deg)	depth(km)	local_magnitude	absError(km)	AveragedRelativeError(km)
70.972	36.627	50.40	3.3	1.8	-	deepHinduKush
69.715	36.380	50.64	3.2	5.5	-	deepHinduKush
71.371	36.578	51.30	2.9	7.6	1.9	deepHinduKush
68.740	36.424	52.04	5.5	9.7	-	deepHinduKush
71.290	36.614	53.45	2.7	5.7	1.9	deepHinduKush
70.989	36.587	53.57	2.7	2.7	-	deepHinduKush
70.814	36.694	53.87	3.7	1.9	1.9	deepHinduKush
70.435	36.421	54.09	3.1	2.2	-	deepHinduKush
70.764	36.576	54.17	2.6	2.5	-	deepHinduKush
70.995	36.558	54.26	2.9	4.1	-	deepHinduKush
70.037	36.528	54.88	2.4	7.9	-	deepHinduKush
71.527	36.619	54.96	2.5	2.7	1.9	deepHinduKush
71.328	36.520	54.97	2.9	2.5	1.9	deepHinduKush
69.880	36.554	55.43	2.3	9.3	-	deepHinduKush
71.324	36.563	55.45	3.7	2.3	1.9	deepHinduKush
69.819	36.027	55.69	2.8	4.1	-	deepHinduKush
71.305	36.315	55.77	2.7	4.1	-	deepHinduKush
71.329	36.556	55.78	3.1	2.9	1.9	deepHinduKush
70.804	36.698	56.35	3.6	2.3	1.9	deepHinduKush
69.824	35.732	56.46	3.0	7.0	-	deepHinduKush
70.408	36.222	56.54	2.0	15.2	-	deepHinduKush
70.935	36.112	56.85	3.3	9.2	-	deepHinduKush
71.449	36.527	57.07	2.9	4.1	1.9	deepHinduKush
71.288	36.567	57.17	2.6	4.7	1.9	deepHinduKush
70.878	36.678	57.34	3.8	9.5	-	deepHinduKush
71.516	36.603	57.37	3.6	1.8	1.9	deepHinduKush
71.276	36.595	57.53	3.3	2.8	1.9	deepHinduKush
71.395	36.536	57.68	2.1	4.7	1.9	deepHinduKush
71.224	36.534	57.80	2.8	3.8	1.9	deepHinduKush
68.760	36.509	57.90	3.8	7.2	-	deepHinduKush
71.350	36.528	58.08	3.4	4.1	1.9	deepHinduKush
69.936	35.685	58.17	3.5	5.0	-	deepHinduKush
71.118	36.634	59.27	2.7	3.5	1.9	deepHinduKush
71.362	36.536	59.68	3.3	2.4	1.9	deepHinduKush
71.392	36.532	59.87	2.7	4.0	1.9	deepHinduKush
71.145	36.657	59.88	2.4	2.6	1.9	deepHinduKush
70.909	36.567	59.94	3.2	2.7	-	deepHinduKush
71.352	36.514	60.05	3.0	3.8	1.9	deepHinduKush
70.469	36.424	60.11	4.2	2.7	-	deepHinduKush
71.275	36.611	60.11	2.3	3.1	1.9	deepHinduKush
71.320	36.523	60.42	2.9	3.2	1.9	deepHinduKush
71.111	36.194	60.51	5.6	10.0	-	deepHinduKush
71.331	36.499	60.58	3.4	2.0	1.9	deepHinduKush
71.238	36.514	60.63	2.7	3.5	1.9	deepHinduKush
70.757	36.144	60.74	5.1	10.7	-	deepHinduKush
71.081	36.184	60.94	3.9	5.9	-	deepHinduKush
71.203	36.379	60.97	3.3	5.6	1.9	deepHinduKush
70.380	35.486	61.00	5.5	20.4	-	deepHinduKush
71.254	36.483	61.98	2.9	5.3	1.9	deepHinduKush
71.300	36.496	62.15	2.6	5.3	1.9	deepHinduKush
71.289	36.518	62.71	3.0	3.4	1.9	deepHinduKush
71.160	36.405	63.80	3.5	9.0	-	deepHinduKush
70.719	35.982	64.11	3.7	4.5	-	deepHinduKush
71.343	36.999	64.25	2.7	3.7	-	deepHinduKush
71.191	36.301	64.51	3.3	2.6	1.9	deepHinduKush
71.213	36.336	64.60	3.4	3.0	1.9	deepHinduKush
70.579	36.322	64.65	3.1	8.0	-	deepHinduKush
71.275	36.456	64.69	2.9	4.1	1.9	deepHinduKush
71.221	36.640	64.95	4.1	1.6	1.9	deepHinduKush
71.304	36.564	65.06	3.6	5.4	1.9	deepHinduKush
71.587	36.176	65.18	2.1	3.8	-	deepHinduKush
71.274	36.494	65.20	3.0	3.3	1.9	deepHinduKush
71.260	36.472	65.32	3.1	4.3	1.9	deepHinduKush
71.282	36.601	65.55	3.2	3.7	1.9	deepHinduKush
70.117	35.968	65.59	2.9	3.7	-	deepHinduKush
71.283	36.589	65.76	2.5	3.9	1.9	deepHinduKush
71.532	36.389	65.76	2.0	4.5	-	deepHinduKush
71.240	36.369	65.82	4.1	3.0	1.9	deepHinduKush
71.237	36.342	65.88	2.7	2.6	1.9	deepHinduKush
71.390	36.684	65.99	2.3	4.0	1.9	deepHinduKush
71.255	36.513	66.04	3.6	2.8	1.9	deepHinduKush
69.355	35.662	66.37	3.3	6.5	1.9	deepHinduKush
71.189	36.334	66.82	3.0	6.5	1.9	deepHinduKush
70.566	36.108	66.84	2.5	9.6	-	deepHinduKush
71.311	36.605	66.89	3.1	3.6	1.9	deepHinduKush
69.626	35.423	66.92	3.8	3.6	-	deepHinduKush
71.277	36.537	67.01	2.8	5.9	1.9	deepHinduKush
71.488	36.678	67.14	3.2	3.4	1.9	deepHinduKush
70.861	35.914	67.15	3.0	3.9	-	deepHinduKush
69.930	35.628	67.57	3.0	4.3	-	deepHinduKush
71.434	36.639	67.57	2.5	3.5	1.9	deepHinduKush
71.412	36.680	67.61	3.1	4.8	1.9	deepHinduKush
71.272	36.747	67.83	3.4	2.1	1.9	deepHinduKush
71.119	36.274	68.01	2.9	3.4	1.9	deepHinduKush
70.660	36.337	68.02	3.0	7.9	-	deepHinduKush
71.196	36.427	68.08	2.4	4.2	1.9	deepHinduKush
69.384	35.668	68.28	4.1	4.7	1.9	deepHinduKush
69.559	35.592	68.69	3.3	3.5	1.9	deepHinduKush
69.840	36.002	68.96	3.2	3.2	1.9	deepHinduKush
71.184	36.361	69.01	3.0	5.1	1.9	deepHinduKush
70.901	35.907	69.02	3.8	5.8	-	deepHinduKush
71.415	36.571	69.05	3.6	2.7	1.9	deepHinduKush
71.400	36.693	69.21	3.2	3.9	1.9	deepHinduKush
71.214	36.758	69.24	2.7	2.8	1.9	deepHinduKush
71.305	36.783	69.25	2.8	3.0	1.9	deepHinduKush
71.331	36.516	69.45	2.9	3.3	1.9	deepHinduKush
70.965	36.172	69.54	3.2	5.4	1.9	deepHinduKush
70.610	35.720	69.55	2.5	4.3	-	deepHinduKush
71.263	36.545	69.73	2.2	3.7	1.9	deepHinduKush
71.031	35.997	69.75	3.7	4.9	-	deepHinduKush
69.221	36.085	69.81	3.2	6.6	-	deepHinduKush
71.284	36.400	69.97	3.4	5.2	1.9	deepHinduKush
71.294	36.362	70.03	3.0	6.0	1.9	deepHinduKush
71.037	35.942	70.09	2.8	3.7	-	deepHinduKush
71.272	36.455	70.27	3.0	2.6	1.9	deepHinduKush
