lon	lat	depth	m_l	err_abs	err_avgrel	area
#						
#	Joint	Pamir-Hindu	Kush	earthquake	catalog	for
#	obtained	from	the	TIPAGE/FERGHANA/TIPTIMON	networks	
#	(Mechie	et	al.,	2012/Feld	et	al.,
#	between	2012-14	&	2008-10.		
#						
#	Pamir	events	are	mainly	relocated	from
#						
#	See	Kufner	et.	al.	2016	for
#	-	absError(km)	--	absolute	location	error
#	-	AveragedRelativeError (km)	--	averaged	relative	location
#	-	the	separation	in	deepPamir	and
#						
#	longitude(deg)	latitude(deg)	depth(km)	local_magnitude	absError(km)	AveragedRelativeError(km)
70.720	37.203	51.31	3.3	2.4	-	deepPamir
69.693	38.821	52.37	2.0	6.0	-	deepPamir
70.735	37.167	52.40	2.8	2.1	-	deepPamir
71.310	36.883	53.17	2.8	2.5	1.9	deepPamir
71.266	36.828	53.92	3.6	3.8	1.9	deepPamir
70.910	36.843	54.10	2.6	2.4	1.9	deepPamir
75.516	39.883	54.25	4.1	6.0	-	deepPamir
73.586	39.471	54.27	2.1	6.3	-	deepPamir
70.768	36.934	54.42	3.3	7.9	-	deepPamir
71.062	36.901	55.12	3.2	1.6	1.9	deepPamir
73.163	37.177	55.14	2.6	4.2	-	deepPamir
71.308	37.018	55.21	2.5	3.2	-	deepPamir
71.636	36.734	55.22	2.2	2.9	-	deepPamir
71.072	36.776	55.25	3.0	1.7	1.9	deepPamir
70.823	36.840	55.53	3.5	3.4	-	deepPamir
72.197	37.025	55.54	2.7	3.4	1.9	deepPamir
71.280	36.850	55.63	3.7	2.5	1.9	deepPamir
75.526	40.114	55.96	3.4	18.4	-	deepPamir
71.121	36.809	56.43	2.9	1.5	1.9	deepPamir
72.148	37.006	57.01	3.0	4.5	1.9	deepPamir
71.109	36.900	57.48	2.1	2.7	1.9	deepPamir
70.996	36.763	57.69	2.7	2.4	1.9	deepPamir
71.136	36.744	57.75	3.1	4.1	1.9	deepPamir
70.062	38.888	57.81	3.4	7.3	-	deepPamir
70.887	36.827	58.06	3.0	2.4	1.9	deepPamir
70.862	36.829	58.48	3.0	2.6	1.9	deepPamir
74.274	38.006	58.63	2.3	5.0	-	deepPamir
68.509	37.262	58.74	3.3	9.8	-	deepPamir
72.120	37.862	58.80	2.5	19.2	-	deepPamir
71.093	36.901	59.22	2.3	3.9	1.9	deepPamir
71.061	36.743	59.56	3.1	1.7	1.9	deepPamir
70.858	36.812	59.61	3.0	2.6	1.9	deepPamir
71.040	36.731	59.72	2.0	2.8	1.9	deepPamir
70.938	36.854	59.80	2.7	1.9	1.9	deepPamir
70.878	36.845	59.89	3.0	2.4	1.9	deepPamir
70.852	36.830	59.91	2.9	2.5	1.9	deepPamir
70.882	36.834	59.97	4.4	1.4	1.9	deepPamir
70.859	36.815	60.08	2.4	2.0	1.9	deepPamir
72.961	39.255	60.37	2.3	2.2	-	deepPamir
73.795	39.205	60.40	2.3	4.7	-	deepPamir
71.040	36.750	60.46	1.9	2.6	1.9	deepPamir
71.117	36.750	60.56	2.4	2.7	1.9	deepPamir
75.526	38.334	60.56	3.0	12.2	-	deepPamir
72.220	37.230	60.81	2.0	2.5	-	deepPamir
71.039	36.717	60.92	4.2	1.6	1.9	deepPamir
71.128	36.989	61.08	2.3	1.9	-	deepPamir
72.485	37.209	61.22	2.7	2.8	-	deepPamir
71.075	36.728	61.41	4.2	5.3	1.9	deepPamir
70.891	36.864	61.70	3.1	1.7	1.9	deepPamir
71.964	37.231	61.70	2.5	4.0	-	deepPamir
71.158	36.653	61.71	3.2	2.6	1.9	deepPamir
71.008	36.781	61.96	4.6	1.4	1.9	deepPamir
70.943	36.882	62.05	3.3	1.6	1.9	deepPamir
70.942	36.879	62.20	3.0	2.9	1.9	deepPamir
71.019	36.648	62.20	2.9	2.8	1.9	deepPamir
70.910	36.878	62.24	2.3	2.1	1.9	deepPamir
72.479	37.170	62.25	2.4	6.7	-	deepPamir
71.144	36.997	62.36	4.3	2.4	1.9	deepPamir
73.203	36.599	62.41	3.3	7.4	-	deepPamir
70.965	36.905	62.42	2.8	2.3	1.9	deepPamir
71.066	36.769	62.42	2.5	2.1	1.9	deepPamir
71.976	37.504	62.50	2.5	20.9	-	deepPamir
70.784	36.812	63.06	4.0	1.7	1.9	deepPamir
73.327	37.739	63.18	2.1	2.6	-	deepPamir
70.937	36.850	63.43	3.4	4.1	1.9	deepPamir
74.986	39.469	63.46	2.4	6.1	-	deepPamir
71.150	36.676	63.50	4.6	5.7	-	deepPamir
70.969	36.852	63.64	3.2	3.6	-	deepPamir
70.909	36.938	63.79	3.4	2.3	-	deepPamir
71.002	36.758	64.21	3.0	3.2	1.9	deepPamir
71.145	36.682	64.33	3.2	4.6	1.9	deepPamir
72.763	38.277	64.40	2.1	5.6	-	deepPamir
71.092	36.806	64.67	2.8	2.4	1.9	deepPamir
71.046	36.662	64.75	3.0	4.5	1.9	deepPamir
71.026	36.791	64.83	3.6	1.4	1.9	deepPamir
71.164	36.635	64.86	3.0	3.2	1.9	deepPamir
71.129	37.009	64.99	3.0	1.6	1.9	deepPamir
71.056	36.826	65.02	3.1	2.1	1.9	deepPamir
71.070	36.738	65.24	3.0	8.4	1.9	deepPamir
70.989	36.912	65.25	3.1	3.0	1.9	deepPamir
71.090	36.707	65.32	2.7	2.7	1.9	deepPamir
71.104	37.179	65.37	2.7	2.4	1.9	deepPamir
70.998	36.728	65.74	3.1	1.9	1.9	deepPamir
71.033	36.828	66.08	2.9	1.8	1.9	deepPamir
70.946	36.698	66.14	3.5	1.6	1.9	deepPamir
70.992	36.790	66.47	4.4	2.7	1.9	deepPamir
71.087	36.777	66.53	4.9	2.9	-	deepPamir
71.147	36.729	66.78	3.8	3.1	1.9	deepPamir
71.061	36.856	66.80	3.3	1.6	1.9	deepPamir
71.049	36.926	66.99	3.5	3.8	-	deepPamir
71.079	36.701	67.10	3.2	2.1	1.9	deepPamir
71.080	36.703	67.27	3.3	1.7	1.9	deepPamir
71.046	36.732	67.39	3.4	1.8	1.9	deepPamir
71.159	36.939	67.45	3.0	1.8	1.9	deepPamir
73.463	37.614	67.46	2.4	3.1	-	deepPamir
71.026	36.586	67.51	3.9	2.4	1.9	deepPamir
71.089	36.789	67.72	3.1	2.8	1.9	deepPamir
71.058	36.706	67.77	3.0	2.1	1.9	deepPamir
71.062	36.831	67.79	2.7	2.6	1.9	deepPamir
71.007	36.834	67.88	2.4	3.1	1.9	deepPamir
70.993	36.849	67.99	3.8	1.7	1.9	deepPamir
71.127	36.715	68.01	2.5	3.9	1.9	deepPamir
70.971	37.515	68.45	2.9	1.9	-	deepPamir
70.999	36.674	68.45	3.1	13.5	-	deepPamir
71.156	36.729	68.63	2.3	3.2	1.9	deepPamir
71.061	36.857	68.64	3.8	2.3	1.9	deepPamir
71.023	36.716	68.70	2.8	4.0	1.9	deepPamir
72.139	37.414	68.82	2.4	3.0	-	deepPamir
67.802	39.073	68.84	2.9	20.0	-	deepPamir
71.080	36.572	68.88	3.3	2.2	1.9	deepPamir
71.091	36.768	68.90	3.4	4.7	1.9	deepPamir
71.130	36.710	68.90	3.1	2.0	1.9	deepPamir
